---

# STEP 15 — CONFIDENCE & REVIEW REPORT
**Vendor Spend Strategy Assessment**
**Portfolio: 386 vendors | Total spend: $7,887,360**
**Review date: 2026-03-21**

---

## SECTION 1 — CONFIDENCE SUMMARY

| Category | Count |
|---|---|
| **Total vendors reviewed** | **386** |
| HIGH confidence | 315 |
| MEDIUM confidence | 46 |
| LOW confidence | 24 |
| **Data integrity gap** | **1 (Zuric — unresolved)** |

---

## SECTION 2 — INDIVIDUAL CONFIDENCE ASSESSMENT

### 2A — OPTIMIZE VENDORS (27)

| Vendor Name | Spend (USD) | Confidence | Reason if MEDIUM or LOW |
| Workato, Inc. | 16,101 | **HIGH** | Enterprise iPaaS with deep workflow integrations — Terminate without migration plan creates operational disruption risk. Consolidate (migrate Zapier to Workato, retain Workato). Flag for reclassification. |
| Outreach Corporation | 9,206 | **HIGH** | Sales engagement platform — overlaps with Salesforce but may carry active sequences and data. Consolidate into Salesforce or LinkedIn before closure. Flag for reclassification. |

**Score 2 — Marginal but Recurring (selected flags):**

| Vendor Name | Spend (USD) | Confidence | Reason |
|---|---|---|---|
| Grant Thornton | 46,539 | **HIGH** | Major audit/advisory firm at $46K — Terminate in isolation is high-risk; ongoing engagement scope must be confirmed. Score 2 conflict is valid — reclassify to Consolidate under BDO/RSM panel. **High-priority flag.** |
| Mason Frank International Ltd | 38,148 | **HIGH** | Established Salesforce specialist staffing agency — Terminate without active PSL transfer creates hiring gap. Consolidate into preferred recruitment panel. |
| Mightyhive Ltd | 19,042 | **HIGH** | Digital marketing agency (now S4 Capital Media) — active campaign management risk if Terminated without agency transition. Consolidate under Big Frontier mandate. |
| Jones Lang Lasalle (NSW) Pty Ltd | 16,274 | **HIGH** | JLL is a globally known real estate firm — Terminate classification is high risk without confirming ongoing property management scope. |
| Cigna SG | 13,249 | **HIGH** | Global health insurer (Singapore) — Terminate creates benefits gap for Singapore headcount. Consolidate under insurance group rationalisation. |
| Hrvatski Telekom D.D. | 18,084 | **HIGH** | Croatian national telecom carrier — Terminate creates connectivity risk for Croatia operations. Retain as regional carrier; consolidate billing under Telefonica GmbH framework. |
| Sodexo SVC India Private Limited | 17,810 | **HIGH** | Sodexo benefits entity (India) — Terminate without verifying post-spin-off relationship with Pluxee ($3,994) creates benefits administration gap. |
| Sveučilište U Zagrebu Studentski Centar | 44,299 | **MEDIUM** | Croatian: "University of Zagreb Student Centre" — unusual vendor for a tech/services company. Scope of the relationship ($44K) is unclear from the name alone. Could be event venue, catering, or office space. **Requires human review of contract to confirm classification.** |
| Accutrainee Limited | 38,841 | **MEDIUM** | UK legal staffing/secondment firm — recognisable in legal circles but scope of engagement at $38K is ambiguous. Could be ongoing secondment (Consolidate) or completed matter (Terminate). Human review of engagement status required. |
| Care Health Insurance Company | 24,045 | **MEDIUM** | India-based private health insurer — correct category (health insurance), but ongoing policy status and covered headcount need confirmation before Terminate action. |
| Uberflip | 26,091 | **MEDIUM** | B2B content experience platform — recognisable in content marketing, but product overlap with HubSpot/Salesforce Marketing Cloud needs contract-level validation. |
| New Star Networks (NSN) | 23,887 | **MEDIUM** | IT networking services — recognisable category, entity is not widely known. Ongoing infrastructure dependencies need confirmation before Terminate. |
| Granttree Limited | 13,659 | **MEDIUM** | UK R&D tax credits specialist — recurring engagement likely (annual R&D tax claims). Terminate may eliminate a recurring tax recovery benefit. Flag for Finance review. |
| Technet IT Recruitment | 21,952 | **MEDIUM** | UK IT recruitment — active placements may be in progress. Consolidate to Mason Frank before closure. |
| Eurofast International Ltd | 18,164 | **MEDIUM** | Regional advisory (Balkans/Eastern Europe) — compliance/legal advisory scope unconfirmed. Ongoing regulatory obligations in Croatia/Serbia/etc. may be supported by this firm. |
| Cedar Recruitment Ltd | 18,537 | **MEDIUM** | UK finance/accounting recruitment — active placements risk; consolidate to Mason Frank or preferred PSL. |
| PerformancePro | 10,018 | **MEDIUM** | HR performance management SaaS — less known; ongoing active cycle (annual reviews) creates disruption risk if Terminated mid-cycle. Consolidate with Peakon. |
| Plus Your Business Ltd | 17,074 | **MEDIUM** | Digital marketing agency — scope and active mandates unclear. Consolidate under Big Frontier. |
| Benefit Systems D.O.O. | 16,900 | **MEDIUM** | Croatian employee benefits platform — statutory/compliance obligations possible. Scope needs verification before Terminate. |
| Work Easy Space Solutions | 14,913 | **MEDIUM** | Coworking/flex office — ongoing lease commitment or flex membership may carry notice period obligation. |
| Emerge Development Consultancy Ltd | 10,046 | **MEDIUM** | UK tech consultancy — scope and active deliverables unconfirmed. |
| Veniture D.O.O. | 39,342 | **LOW** | Croatian IT services — name alone gives no indication of engagement scope, technology stack, or delivery role. At $39K this is above the long-tail threshold. Requires human review of contract before Terminate. **High-priority LOW flag.** |
| Nefron - Obrt Za Poslovne Usluge | 30,614 | **LOW** | Croatian: "Nefron - Business Services Trade Company" — completely opaque from name alone. $30K spend with no identifiable service category. Requires human review. |
| Agram Life Osiguranje D.O.O. | 24,952 | **LOW** | Croatian life insurance entity — active policy obligations likely. "Agram" = Zagreb region. Terminate may breach insurance regulatory requirements. Flag for Legal/HR review. |
| Shree Info System Solutions | 22,275 | **LOW** | Indian IT services — name alone insufficient to determine scope, active projects, or contractual status. |
| Smart Group Services D.O.O. | 16,438 | **LOW** | Croatian entity — "Smart Group Services" is completely generic. Service category, contract status, and department unclear. |
| Westbrook Advisers | 15,360 | **LOW** | Unknown advisory firm — no public profile identifiable. $15K could be a one-off or a retainer. Contract review required. |
| Taxstudio, Ltd. | 14,642 | **LOW** | UK tax advisory — very small firm, no public profile. May have recurring annual tax filing obligations. Finance review required before Terminate. |
| Pingo D.O.O. | 14,508 | **LOW** | Croatian entity — "Pingo" is entirely opaque. No identifiable service category. |
| Tp Prime D.O.O. | 13,785 | **LOW** | Croatian IT services — name gives no indication of scope or technology. Ongoing infrastructure dependencies unverifiable. |
| Magazin Računalni Sistemi D.O.O. | 13,870 | **LOW** | Croatian: "Magazine Computer Systems" — IT hardware/software reseller implied, but engagement scope unconfirmed. |
| 4I Management Consulting Private Limited | 12,117 | **LOW** | Indian entity — possible sister company to 4I Advisory Services ($71K Optimize). If related, consolidated scope may be misclassified across two entries. Flag for review. |
| Ramiro D.O.O. | 11,515 | **LOW** | Croatian entity — completely opaque name. Service category, engagement scope, and contract status unknown. |
| Bijeli Pijesak Obrt Za Poslovno Savjetovanje | 11,605 | **LOW** | Croatian: "White Sand Business Consulting Trade" — local consultancy with no public profile. Scope unknown. |
| Omonia D.O.O. | 9,559 | **LOW** | Croatian entity — name alone gives no indication of services. Engineering department assignment is the only context. |

---

### 2D — TERMINATE VENDORS (NO CONFLICT, 295 VENDORS) — BULK ASSESSMENT

The 295 Score-1 Terminate vendors with no Step 08 conflict are assessed as follows:

| Sub-group | Count | Confidence | Notes |
|---|---|---|---|
| One-off catering / hospitality / events | ~80 | **HIGH** | Axil Coffee, Bakemono Bakers, City Pantry, Tattu, Marvie Hotel, etc. — clearly transactional |
| Government fees / statutory payments | ~15 | **HIGH** | ATO, ICO, Cayman Islands Gov, Grad Zagreb — not vendor relationships, correctly excluded |
| One-off / micro-spend SaaS (<$5K) | ~50 | **HIGH** | Adobe, Docusign, Figma, Smartsheet, GoDaddy, Zapier, etc. — functionality duplicated in strategic platforms |
| M&A deal-specific advisory | 3 | **HIGH** | Houlihan Lokey ($37K), SS&C Intralinks ($40K), Vector Capital ($32K) — deal-specific, HIGH confidence IF deals are confirmed complete |
| Low-spend logistics / transport | ~15 | **HIGH** | FedEx, DSV, Parcelforce, Greencell, Trans-Agram, Galop-Prijevoz — incidental, transactional |
| Low-spend marketing / PR | ~25 | **HIGH** | 4Imprint, Vistaprint, Semrush, Cision, etc. — below threshold, overlap with strategic platforms confirmed |
| Low-spend regional IT (<$8K) | ~40 | **HIGH** | GoDaddy, Lastpass, Jetbrains, Solarwinds, etc. — micro-spend SaaS, below threshold |
| Low-spend finance / accounting (<$5K) | ~15 | **HIGH** | Australian Payroll Professionals, Bigshare, Crowe Horwath, Pinnacle Partnership, etc. |
| Individual person name entries | ~5 | **LOW** | Fabiola Thistlewhaite, Ansar Madovic, George Anchor, John Smith, Susan Lee — individuals without contract context; may be contractors on ongoing engagements. Verify employment/contractor status before closure. |
| Unresolved data integrity | 1 | **UNRESOLVED** | **"Zuric"** ($24K) — referenced in Step 08 Section D with a self-correction note suggesting it may belong in the conflict list, but no entry appears in Section C. This vendor is unaccounted for in the conflict analysis. **Flag for data review.** |

---

## SECTION 3 — SAFETY CHECKS

| Check | Result | Detail |
|---|---|---|
| No strategic vendor (cloud/CRM/security) marked Terminate | **PASS** | Salesforce (Score 5, Optimize), AWS LLC (Score 5, Optimize), Google (Score 4, Optimize), Microsoft (Score 4, Optimize) — all correctly retained. No security vendor at meaningful spend in portfolio. |
| All high-impact Terminate recommendations justified | **PARTIAL FAIL** | 42 Terminate vendors score 2–3 and should be Consolidate. Additionally, 14 LOW-confidence Croatian/Indian entities at $10K–$44K each have Terminate classifications with no verifiable scope. |
| All Consolidate recommendations identify specific overlap | **PASS** | All 22 Consolidate vendors have specific duplication rationale (duplicate AP entity, same-vendor product, or platform functional overlap). |
| All Optimize recommendations identify specific lever | **PASS** | All 27 Optimize vendors have specific levers (seat audit, re-tender, utilisation review, reserved instances, etc.). Noting that 23 of 27 are Score 2–3 conflicts — the Optimize label should be documented as "right-size" not "mission-critical" for these 23. |
| Zuric entry accounted for | **FAIL** | $24K spend, referenced as a potential conflict entry but absent from the conflict table. |

---

## SECTION 4 — FLAGGED VENDORS REQUIRING HUMAN REVIEW

### Priority 1 — HIGH SPEND, HIGH RISK (review before any action)

| Vendor | Spend | Issue |
|---|---|---|
| Weking D.O.O. | $144,093 | LOW confidence — Croatian entity, service scope unverifiable from name. Optimize recommendation at 2nd-tier spend level. |
| Zagrebtower D.O.O. | $183,754 | LOW confidence — Croatian entity at near-$200K. Lease terms and headcount utilisation data required to validate right-sizing lever. |
| 4I Advisory Services | $71,860 | LOW confidence — Opaque name. Optimize/Consolidate decision requires contract-level scope review. |
| Veniture D.O.O. | $39,342 | LOW confidence — Croatian IT entity at $39K flagged Terminate; scope and active deliverables unknown. |
| Sveučilište U Zagrebu Studentski Centar | $44,299 | MEDIUM confidence — Croatian university student centre at $44K flagged Terminate; engagement nature unclear. |
| Grant Thornton | $46,539 | HIGH confidence in identity, MEDIUM in classification — Score 2 conflict means Terminate is likely wrong; Finance team must confirm if ongoing engagement exists. |

### Priority 2 — PLATFORM CONTINUITY RISK (reclassify before workbook is finalised)

| Vendor | Spend | Issue |
|---|---|---|
| Sage UK Limited | $46,895 | Score 3 — Terminate is incorrect; ongoing FP&A accounting platform. Reclassify to Consolidate. |
| Planful, Inc. | $27,741 | Score 3 — Terminate is incorrect; evaluate vs. Sage then consolidate to one. |
| Workato, Inc. | $16,101 | Score 3 — Terminate is incorrect; deep enterprise integration dependencies. Reclassify to Consolidate. |
| Peakon APS | $17,108 | Score 3 — Terminate mid-cycle creates employee survey data loss. Reclassify to Consolidate. |
| Cognism Limited | $27,013 | Score 3 — Active sales intelligence subscription. Reclassify to Consolidate with LinkedIn. |
| Outreach Corporation | $9,206 | Score 3 — Active sales sequences risk. Reclassify to Consolidate into Salesforce. |

### Priority 3 — DATA INTEGRITY

| Issue | Detail |
|---|---|
| Zuric ($24K) | Referenced in Step 08 as a conflict but absent from the conflict table. Unresolved. Locate in raw data and assign correct classification. |
| 4I Advisory ($71K Optimize) vs. 4I Management Consulting ($12K Terminate) | May be related entities. If same group, combined $83K should be assessed under a single classification. Verify. |
| Individual person-name entries | 5 entries (Fabiola Thistlewhaite, Ansar Madovic, George Anchor, John Smith, Susan Lee) — unclear if contractors, one-off consultants, or erroneous payee entries. HR/Legal confirmation required before Terminate. |

---

## SECTION 5 — AUDIT TRAIL: IMPLEMENTATION RISKS

The following risks are documented for the strategy audit trail and must be reflected in the implementation roadmap (STEP 16 and beyond):

| Risk | Description | Mitigation |
|---|---|---|
| **Operational disruption from tool consolidation** | Terminating or consolidating active SaaS platforms (Workato, Peakon, Sage, Cognism, Outreach) without migration plans creates workflow gaps and data loss | Require a phased migration plan with a defined cutover date, data export/import verification, and parallel-run period before vendor closure |
| **Contract lock-in and early termination penalties** | Facilities vendors (Zagrebtower, Weking, TOG, Innovent, GPT, WeWork Singapore), insurance policies (Aetna, Jensten), and SaaS subscriptions may carry notice periods, break clauses, or ETPs | Align all Terminate and Consolidate actions to contract renewal windows; obtain legal review of ETPs before issuing termination notices |
| **Savings realisation delay due to migration costs** | Gross savings from consolidation and termination are partially offset by migration costs (data migration, re-implementation, retraining, agency transitions) | Build a net savings model for each P1–P2 consolidation group; flag migration costs in STEP 09 sizing; report net vs. gross savings separately |
| **Stakeholder resistance from business unit owners** | Department heads in Engineering (Cloudcrossing, Weking, Harmonic), Sales (Salesforce, LinkedIn, Cognism), Marketing (Big Frontier, HubSpot), and Facilities (TOG, Innovent, Zagrebtower) will resist vendor changes that affect their operating model | Secure executive sponsorship (CFO/COO sign-off) before any Terminate or Consolidate action above $20K; establish a vendor review committee with BU representation |

---

## SECTION 6 — VERDICT

```
┌─────────────────────────────────────────────────────────────────────┐
│  WORKBOOK STATUS:  HUMAN REVIEW RECOMMENDED BEFORE FINAL SAVE       │
└─────────────────────────────────────────────────────────────────────┘
```

**Three issues must be resolved before the workbook is final:**

**Issue 1 — 6 Terminate→Consolidate reclassifications required (Priority)**
Sage, Planful, Workato, Peakon, Cognism, and Outreach are active platforms scored 3 (substitutable but important). Their Terminate classification carries platform continuity risk. These should be reclassified to Consolidate in the workbook with migration-first conditions noted.

**Issue 2 — 14 LOW-confidence Terminate/Optimize vendors require contract-level verification**
14 vendors — predominantly Croatian/Indian entities with opaque names (Veniture, Nefron, Agram Life, Pingo, Ramiro, Bijeli Pijesak, Omonia, Smart Group, Tp Prime, Magazin, 4I Management, Westbrook, Taxstudio, Shree Info) — cannot be confidently classified without a human review of contract terms, active delivery status, and in-country compliance obligations.

**Issue 3 — Zuric data gap**
The Zuric entry ($24K) is unaccounted for in the conflict analysis. Locate in the raw data, assign a score and recommendation, and add to the conflict log before the workbook is saved as final.

---

**Once the above three issues are resolved, the workbook will be READY TO SAVE. Proceed to STEP 16 after human review of the flagged items is confirmed.**
