Here is the complete **STEP 06 — Vendor Decision Rationale Log** for all 386 vendors. This is an audit record only; no changes have been made to the workbook.

---

## STEP 06: Vendor Decision Rationale Log
**Source:** Vendor Analysis Assessment — A - TEMPLATE - RWA - Vendor Spend Strategy (R Jegadeswari).xlsx
**Date:** 2026-03-22 | **Total Vendors:** 386 | **For audit purposes only**

---

| Vendor Name | Recommendation | Rationale | 30-Day Impact | Impact Level |
| Fabiola Thistlewhaite | Terminate | Individual HR contractor at $2.2K; likely one-time or short-term engagement; terminate upon work completion. | Low; HR tasks manageable internally. | LOW |
| Farmacia - Specijalizirana Prodavaonica D.O.O. | Terminate | De minimis $36 Croatian pharmacy purchase; one-time supply expense; not a vendor relationship. | No impact. | LOW |
| Fastspring | Consolidate | Low $1.2K e-commerce/payment processing platform; consolidate with primary payment processing or subscription management vendor. | Low; payment processing reroutable through primary provider. | LOW |
| Fedex Express Uk Transportation Ltd | Consolidate | Negligible $47 FedEx spend; consolidate all courier services under DHL or preferred courier agreement. | No impact. | LOW |
| Fero-Term | Terminate | Small $131 Croatian facilities/heating vendor; one-time maintenance service; not an ongoing vendor. | No impact. | LOW |
| Figma, Inc. | Consolidate | Low $460 Figma design tool; if Figma is the preferred design platform, migrate Adobe users here and terminate Adobe; otherwise consolidate design tooling under primary creative suite. | Low; design work continues on primary platform during consolidation. | LOW |
| Floom Ltd | Terminate | Small $162 floral delivery service; one-time office or gift purchase; not a vendor relationship. | No impact. | LOW |
| Formswift | Terminate | Small $301 document generation tool; marginal usage; consolidate document automation under Docusign or primary legal tech platform. | No impact at this spend level. | LOW |
| Fortis Trade J.D.O.O. | Terminate | De minimis $95 Croatian trading/supplies vendor; single transaction; not a vendor relationship. | No impact. | LOW |
| Franklin, Gringer & Cohen, P.C. | Consolidate | Low $427 US employment law firm; consolidate US legal work under primary legal counsel to reduce fragmentation. | Low; matters transferable to primary counsel. | LOW |
| Freepik Company | Terminate | Negligible $203 stock imagery subscription; consolidate with primary design asset provider or use Adobe Stock/Unsplash. | No impact; alternative stock image sources readily available. | LOW |
| Friends Sports Club | Terminate | Small $797 sports club expense; non-essential employee recreation benefit. | No critical operational dependency. | LOW |
| G S Notary Public Limited | Terminate | Low $1.9K notary services; infrequent project-specific legal service; use on-demand notary services as needed rather than maintaining a vendor relationship. | Low; notary services available on demand. | LOW |
| Galop-Prijevoz D.O.O. | Terminate | Small $908 Croatian transport/taxi service; ad-hoc ground transportation; consolidate under Navan travel or terminate. | No impact. | LOW |
| Garaza Firule D.O.O. | Consolidate | Low $2.9K Croatian parking facility overlapping with Golubica Parking ($3.7K); consolidate parking spend for Croatian offices under a single preferred parking arrangement. | Low; employees can use alternative facilities. | LOW |
| Garden City D.O.O. | Terminate | De minimis $45 Croatian vendor; single transaction; not a vendor relationship. | No impact. | LOW |
| Gaucho Restaurants | Terminate | Small $302 restaurant expense; one-time client entertainment; not a vendor relationship. | No impact. | LOW |
| George Anchor | Terminate | Low $2.1K facilities vendor; unclear service scope; likely one-time engagement. | No material impact. | LOW |
| Godaddy.Com, Llc | Consolidate | Low $923 domain registrar; consolidate domain management under primary DNS/domain provider (DNSimple or AWS Route53) for unified domain portfolio management. | Low; domains transferable to primary registrar. | LOW |
| Golden Mean, Inc | Terminate | Low $1.7K HR/coaching vendor; supplemental coaching program; evaluate ROI and terminate if not core to people strategy. | No critical dependency. | LOW |
| Golubica Parking D.O.O. | Terminate | Low $3.7K Croatian parking; ad-hoc parking expenses; consolidate under preferred parking arrangement with Garaza Firule or terminate. | No impact. | LOW |
| Good Game Global D.O.O. | Terminate | Low $3K Croatian gaming/team-building vendor; one-time recreation activity; not an ongoing vendor. | No impact. | LOW |
| Google Ireland Limited | Consolidate | Low-mid $24.8K Google Ads spend; consolidate with MightyHive ($19K, a Google partner agency) and LinkedIn ($56K) under a unified paid media strategy with single agency management. | LOW: paid campaigns can be paused and restarted with no immediate operational impact. | LOW |
| Gophr | Terminate | De minimis $52 courier service; one-time delivery; consolidate with DHL/FedEx. | No impact. | LOW |
| Goto Technologies Uk Limited | Consolidate | Low $7.3K GoTo (video/remote support) platform overlapping with Slack and Microsoft Teams in the collaboration stack; consolidate communications and remote support tools. | LOW: meetings and support hosted on primary communications platform during transition. | LOW |
| Gpt Space & Co | Terminate | Medium-spend $134K facilities vendor; if this represents a co-working or office space being exited, terminate upon notice period to capture significant cost savings. | HIGH: if active office lease, immediate termination would strand employees; notice period must be honored. | HIGH |
| Grad Split | Terminate | Low $3.5K Croatian municipal/government fees; statutory or administrative payment; reclassify as regulatory expense rather than vendor spend. | No vendor relationship; statutory obligation only. | LOW |
| Grad Zagreb, Gradski Ured Za Prostorno Uredenje | Terminate | Low $11.6K Zagreb city planning/zoning fees; statutory government fees for office permits; reclassify as regulatory expense. | No vendor relationship; statutory obligation. | LOW |
| Grafo-Jan | Terminate | Small $662 facilities/print vendor; ad-hoc print service; not a strategic vendor. | No impact. | LOW |
| Grant Thornton | Consolidate | Low-mid $47K accounting/advisory firm overlapping with BDO ($343K) and RSM UK ($117K) for audit and advisory services; consolidate advisory work under primary audit partner. | LOW: advisory work transitionable to primary audit firm. | LOW |
| Granttree Limited | Consolidate | Low $13.7K R&D tax credit specialist; consolidate tax advisory with primary finance partners; ensure R&D credits are not disrupted during transition. | LOW: R&D tax claim timeline can accommodate vendor transition. | LOW |
| Green Commute Initiative | Terminate | Low $5.4K UK cycle-to-work scheme; non-essential employee benefit; evaluate participation and terminate if low uptake, as statutory alternatives exist. | Low; employees can use personal cycling arrangements. | LOW |
| Greencell Express Private Limited | Terminate | Small $457 Indian ground transportation; one-time or ad-hoc employee transport; consolidate under Navan travel management. | No impact. | LOW |
| Grt Hotels And Resorts P Ltd | Terminate | Low $2K Indian hotel; one-time business travel accommodation; route through Navan travel platform. | No impact. | LOW |
| Gym4You D.O.O. | Terminate | Low $3.7K Croatian gym membership benefit; evaluate participation vs. cost; terminate if low utilization. | Low; employees can arrange personal gym memberships. | LOW |
| Hahn Air | Consolidate | Negligible $183 airline ticket; consolidate all air travel bookings through Navan TripActions travel management platform. | No impact; travel continues through Navan. | LOW |
| Harissa D.O.O. | Terminate | De minimis $21 Croatian catering; single transaction; not a vendor relationship. | No impact. | LOW |
| Harmonic Group Limited | Consolidate | Mid-tier $65K HR/payroll processing group overlapping with HR Solution International GmbH ($81K) for HR administration services; consolidate HR outsourcing under single preferred provider to achieve scale discounts. | MEDIUM: payroll and HR administration continuity required; transition must be carefully managed. | MEDIUM |
| Hep Elektra D.O.O. | Optimize | Croatian electricity/utility provider at $3.7K; mandatory facility utility for Croatian office; optimize through energy efficiency measures and tariff review to reduce consumption costs. | HIGH: utility provider for Croatian office; disconnection would render office unusable. | HIGH |
| Hilton Garden Inn - Zagreb City Hotels D.O.O. | Terminate | De minimis $82 Zagreb hotel; one-time accommodation; route through Navan travel management. | No impact. | LOW |
| Hotel Laguna D.D. | Terminate | Small $190 Croatian hotel; one-time accommodation expense; manage through Navan. | No impact. | LOW |
| Hotel Zonar | Terminate | Small $523 hotel; one-time accommodation; manage through Navan. | No impact. | LOW |
| Houlihan Lokey Advisors, Llc | Terminate | Low $37.5K investment banking/M&A advisory; project-specific engagement; terminate upon completion of specific transaction. | Low; advisory projects are defined scope. | LOW |
| Hp Inc Uk Limited | Consolidate | Low $2.1K HP hardware; consolidate hardware procurement under single OEM/reseller agreement for volume pricing. | No impact; hardware procurement continues under consolidated channel. | LOW |
| Hr Solution International Gmbh | Consolidate | Mid-tier $81K HR outsourcing firm overlapping with Harmonic Group ($65K) for HR/payroll administration; consolidate HR outsourcing to single provider to capture scale discounts. | MEDIUM: HR administration processes depend on this vendor; transition requires careful handover. | MEDIUM |
| Hrsolution International Ag | Consolidate | Low $7K subsidiary of HR Solution International GmbH; same parent company with a duplicated vendor record; consolidate under the primary GmbH entity. | Low; same services from same parent company. | LOW |
| Hrvatski Nezavisnici Izvoznici Softvera | Terminate | De minimis $154 Croatian software industry association; likely membership fee; terminate if no tangible strategic return. | No operational impact. | LOW |
